datetime,temp, undefined
2018011705,2.2,  85.0
2018011706,2.2,  84.0
2018011707,2.1,  84.0
2018011708,2.0,  85.0
2018011709,1.8,  91.0
2018011710,2.1,  89.0
2018011711,2.2,  88.0
2018011712,2.5,  88.0
2018011713,2.9,  85.0
2018011714,2.6,  84.0
2018011715,3.0,  82.0
2018011716,2.9,  82.0
2018011717,2.1,  84.0
2018011718,2.1,  84.0
2018011719,2.2,  86.0
2018011720,1.9,  88.0
2018011721,2.0,  87.0
2018011722,2.2,  87.0
2018011723,1.3,  95.0
2018011800,2.4,  89.0
2018011801,2.3,  88.0
2018011802,2.4,  88.0
2018011803,2.5,  87.0
2018011804,2.4,  87.0
2018011805,2.6,  87.0
2018011806,2.5,  88.0
2018011807,2.3,  89.0
2018011808,2.2,  89.0
2018011809,2.3,  88.0
2018011810,2.2,  89.0
2018011811,1.4,  93.0
2018011812,0.7,  96.0
2018011813,0.6,  99.0
2018011814,0.9,  97.0
2018011815,1.1,  96.0
2018011816,1.7,  94.0
2018011817,2.3,  94.0
2018011818,1.8,  95.0
2018011819,2.6,  92.0
2018011820,2.7,  93.0
2018011821,3.0,  86.0
2018011822,3.0,  90.0
2018011823,3.2,  84.0
2018011900,2.8,  88.0
2018011901,2.6,  89.0
2018011902,2.7,  83.0
2018011903,2.6,  85.0
2018011904,1.9,  89.0
2018011905,1.5,  95.0
2018011906,1.3,  95.0
2018011907,1.2,  95.0
2018011908,1.3,  96.0
2018011909,1.8,  95.0
2018011910,1.8,  94.0
2018011911,1.9,  92.0
2018011912,1.9,  94.0
2018011913,2.3,  92.0
2018011914,2.3,  91.0
2018011915,2.5,  91.0
2018011916,2.2,  91.0
2018011917,1.9,  92.0
2018011918,1.9,  92.0
2018011919,1.9,  93.0
2018011920,1.7,  95.0
2018011921,1.8,  95.0
2018011922,2.1,  94.0
2018011923,2.0,  93.0
2018012000,1.7,  94.0
2018012001,1.8,  94.0
2018012002,1.8,  92.0
2018012003,1.8,  92.0
2018012004,1.8,  88.0
2018012005,1.6,  89.0
2018012006,1.6,  90.0
2018012007,1.6,  90.0
2018012008,1.6,  89.0
2018012009,1.7,  89.0
2018012010,2.0,  84.0
2018012011,2.1,  85.0
2018012012,2.1,  87.0
2018012013,2.0,  89.0
2018012014,2.1,  87.0
2018012015,2.0,  85.0
2018012016,2.0,  85.0
2018012017,1.8,  82.0
2018012018,2.0,  82.0
2018012019,2.0,  83.0
2018012020,1.3,  88.0
2018012021,0.9,  92.0
2018012022,0.7,  93.0
2018012023,1.0,  94.0
2018012100,0.3,  96.0
2018012101,-0.3,  99.0
2018012102,0.2, 100.0
2018012103,0.5,  96.0
2018012104,0.2,  96.0
2018012105,0.8,  97.0
2018012106,0.7,  96.0
2018012107,0.4,  96.0
2018012108,0.3,  98.0
2018012109,0.8,  95.0
2018012110,1.1,  95.0
2018012111,1.9,  91.0
2018012112,2.5,  88.0
2018012113,2.8,  87.0
2018012114,2.8,  85.0
2018012115,2.4,  89.0
2018012116,1.4,  93.0
2018012117,-0.9,  99.0
2018012118,-1.0, 100.0
2018012119,-0.5, 100.0
2018012120,-0.2, 100.0
2018012121,-1.0, 100.0
2018012122,-1.5, 100.0
2018012123,-0.9, 100.0
2018012200,-0.9,  99.0
2018012201,-0.9,  95.0
2018012202,-0.9,  94.0
2018012203,-0.6,  94.0
2018012204,-0.5,  94.0
2018012205,-0.3,  94.0
2018012206,-0.2,  91.0
2018012207,0.1,  89.0
2018012208,0.4,  89.0
2018012209,0.6,  87.0
2018012210,0.8,  86.0
2018012211,1.1,  84.0
2018012212,1.3,  81.0
2018012213,1.2,  80.0
2018012214,1.3,  79.0
2018012215,1.2,  81.0
2018012216,0.8,  86.0
2018012217,0.7,  84.0
2018012218,0.2,  90.0
2018012219,0.0,  92.0
2018012220,0.1,  89.0
2018012221,0.0,  89.0
2018012222,-0.1,  88.0
2018012223,-0.1,  88.0
2018012300,0.0,  88.0
2018012301,0.0,  90.0
2018012302,0.0,  89.0
2018012303,-0.2,  90.0
2018012304,-0.1,  90.0
2018012305,-0.2,  91.0
2018012306,0.3,  87.0
2018012307,0.3,  88.0
2018012308,0.5,  88.0
2018012309,0.5,  89.0
2018012310,0.7,  93.0
2018012311,0.8,  93.0
2018012312,1.2,  93.0
2018012313,1.5,  96.0
2018012314,2.0,  98.0
